SMILES,Genotoxicity
CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC,0
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,0
CC1=NC=CN1CCC1=NC(N)=NC(N)=N1,0
CCCCCCCCC=CCCCCCCCCN(CCO)CCO,0
[Na+].OC(CNC1CCCCC1)CS([O-])(=O)=O,0
CCC(C)(C)OC,0
CCCCCCCCCCOC(C)=O,0
N1C=NC=N1,0
COC1=CC=C(CC=C)C=C1,0
COC(=O)C1CC(=O)C(CC1=O)C(=O)OC,0
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],0
CCCCCCCCCCCC(=O)OC(C)C,0
CCCCC1CCC(CC1)C1CCC(CCC)CC1,0
OC(=O)C1=CC=CO1,0
OC(=O)CN(CC(O)=O)CP(O)(O)=O,0
CC(C)CCOC(=O)C1=CC=CC=C1,0
[Ca++].OP([O-])([O-])=O,0
CC(C)CCCC(C)(C)O,0
C1COC=CC1,0
CCCOC(=O)C1=CC=C(O)C=C1,0
COC(=O)C1=CC=C(O)C=C1,0
CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC,0
[H][C@@]1(OC(=O)C(OC(=O)C(CCCCCC)CCCCCCCC)=C1OC(=O)C(CCCCCC)CCCCCCCC)[C@H](COC(=O)C(CCCCCC)CCCCCCCC)OC(=O)C(CCCCCC)CCCCCCCC,0
CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C,0
"C*.C*.CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC |c:15,17,t:13,lp:12:2,14:2,22:2,23:2,m:1:24.25.26.27.28.29.30,3:5.6.7.8.9.10.11|",0
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0
NCCCCCCN,0
CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC,0
[H+].[Cr+3].CCCCC(CC)COCCCN.[O-]C1=C(C=C(C=C1)[N+]([O-])=O)\N=N\C1=C([O-])C=CC2=CC=CC=C12.[O-]C1=C(\N=N\C2=C([O-])C=C(C=C2)[N+]([O-])=O)C2=CC=CC=C2C=C1,0
CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1,0
CCN(CC)C1=CC=C2C=C(C3=NC4=C(O3)C=CC(=C4)S(N)(=O)=O)C(=O)OC2=C1,1
OC(COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1)COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1,0
[Na+].CCCCCCCCCCCCN(CCC(O)=O)CCC([O-])=O,0
CC1=CC=C(C=C1)S([O-])(=O)=O.CC1=[N+](C)C2=C(C3=C(C=CC=C3)C=C2)C1(C)C,1
CCCCCCCOCC(C)CC=O,0
NC1=CC(=C(C=CC2=C(C=C(N)C=C2)S(O)(=O)=O)C=C1)S(O)(=O)=O,0
CC1OCC(O1)C1=CC=CC=C1,0
NCCCNCCCN,0
NC1=C(Cl)C=C(C=C1Cl)C(F)(F)F,0
OP(O)(=O)C=C,0
CC1=CC(=O)N(CC2=CC(CN3C(=O)C=C(C)C3=O)=CC=C2)C1=O,0
O=C1C(SC2=C1C=CC=C2)=C1SC2=C(C=CC=C2)C1=O,0
O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,0
[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[Al+3].[Cs+],0
[Mn++].[Mn++].[Mn++].[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O,0
OC(=O)CC[C@H](N1C(=O)C2=CC=CC=C2C1=O)C(O)=O,0
[Na+].CC(C)CP([S-])(=S)CC(C)C,0
OP(O)(=O)C1=CC=CC=C1,0
OS(=O)(=O)C(F)(F)F,0
CCCCCCCCCCCCBr,0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,0
CC(C)CC1=CC=CC=C1,0
CCC(C)C1=CC(C(C)CC)=C(O)C(=C1)C(C)CC,0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0
CO[Si](C)(CCCOC(=O)C(C)=C)OC,0
CC1(CO)CN(NC1=O)C1=CC=CC=C1,0
CCC\C(C)=N\O[Si](O\N=C(/C)CCC)(O\N=C(/C)CCC)C=C,0
CCCCCCCCCCOC(=O)C(C)=C,0
CCCCCCCCCC,0
CC(=O)CC(C)(C)O,0
C=CC1CCC=CC1,0
CCOCOCC,1
FC=C,0
CC(=O)OC=C,0
FC(F)CC(F)(F)F,0
NC(=O)[C@@H]1CCCN1,0
CCC(C)(CCCC(C)C)OC(C)=O,0
FC(F)=C,1
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=C(NC2=NC(Cl)=NC(NCCNC3=CC=C4N=C5C(Cl)=C6OC7=C(C=CC(NCCNC8=NC(NC9=C(C=C(C=C9)S([O-])(=O)=O)S([O-])(=O)=O)=NC(Cl)=N8)=C7S([O-])(=O)=O)N=C6C(Cl)=C5OC4=C3S([O-])(=O)=O)=N2)C=C1)S([O-])(=O)=O,0
COC(=O)C1=C(C=C(C=C1)C(O)=O)N(=O)=O,0
OC1=C(Br)C2=C(C=C1Br)C1(OC(=O)C3=C1C(Cl)=C(Cl)C(Cl)=C3Cl)C1=C(O2)C(Br)=C(O)C(Br)=C1,0
NC1=C(OCCCCCCO)C=C(O)C2=C1C(=O)C1=C(C=CC=C1)C2=O,0
CC(=O)C(N=NC1=CC=CC=C1C(F)(F)F)C(=O)NC1=CC2=C(NC(=O)N2)C=C1,0
IC1=CN(N=C1)C1CCNCC1,0
CCC(=O)CC(C)(C)C1=CC=CC=C1,0
[Fe++].[Fe++].[Fe++].[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O,0
CC1=CC(C)=C(C=O)C(C)=C1,0
[Na+].[Na+].OC1=C(Br)C2=C(C=C1Br)C(C1=C(O2)C(Br)=C([O-])C(Br)=C1)C1=C(C([O-])=O)C(Cl)=C(Cl)C(Cl)=C1Cl,0
N#CC1=CC=C(C=CC2=CC=C(C=CC3=C(C=CC=C3)C#N)C=C2)C=C1,0
